stepID	filename	nameNew	s8Orig	s8MinDur	s8MinFL	shortFC	s8New	diffS8	n2Orig	n2Min	n2New	flOrig	flNew	diffFL	diffSyllDur
16	lilli_10	lilli_10_FL_0_017	0.244	0.043	19.9	0.188	0.06	0.184	0.418	0.217	0.234	58.425	25.677	32.749	0.017
17	lilli_10	lilli_10_FL_0_018	0.244	0.043	19.9	0.189	0.061	0.183	0.418	0.217	0.235	58.425	25.99	32.435	0.018
18	lilli_10	lilli_10_FL_0_019	0.244	0.043	19.9	0.19	0.062	0.182	0.418	0.217	0.236	58.425	26.301	32.125	0.019
19	lilli_10	lilli_10_FL_0_020	0.244	0.043	19.9	0.191	0.063	0.181	0.418	0.217	0.237	58.425	26.609	31.817	0.02
20	lilli_10	lilli_10_FL_0_021	0.244	0.043	19.9	0.192	0.064	0.18	0.418	0.217	0.238	58.425	26.914	31.511	0.021
21	lilli_10	lilli_10_FL_0_022	0.244	0.043	19.9	0.193	0.065	0.179	0.418	0.217	0.239	58.425	27.217	31.208	0.022
22	lilli_10	lilli_10_FL_0_023	0.244	0.043	19.9	0.193	0.066	0.178	0.418	0.217	0.24	58.425	27.518	30.907	0.023
23	lilli_10	lilli_10_FL_0_024	0.244	0.043	19.9	0.194	0.067	0.177	0.418	0.217	0.241	58.425	27.816	30.609	0.024
24	lilli_10	lilli_10_FL_0_025	0.244	0.043	19.9	0.195	0.068	0.176	0.418	0.217	0.242	58.425	28.112	30.314	0.025
25	lilli_10	lilli_10_FL_0_026	0.244	0.043	19.9	0.196	0.069	0.175	0.418	0.217	0.243	58.425	28.405	30.021	0.026
26	lilli_10	lilli_10_FL_0_027	0.244	0.043	19.9	0.197	0.07	0.174	0.418	0.217	0.244	58.425	28.696	29.73	0.027
27	lilli_10	lilli_10_FL_0_028	0.244	0.043	19.9	0.198	0.071	0.173	0.418	0.217	0.245	58.425	28.984	29.441	0.028
28	lilli_10	lilli_10_FL_0_029	0.244	0.043	19.9	0.199	0.072	0.172	0.418	0.217	0.246	58.425	29.27	29.155	0.029
29	lilli_10	lilli_10_FL_0_030	0.244	0.043	19.9	0.2	0.073	0.171	0.418	0.217	0.247	58.425	29.554	28.871	0.03
30	lilli_10	lilli_10_FL_0_031	0.244	0.043	19.9	0.201	0.074	0.17	0.418	0.217	0.248	58.425	29.836	28.59	0.031
31	lilli_10	lilli_10_FL_0_032	0.244	0.043	19.9	0.202	0.075	0.169	0.418	0.217	0.249	58.425	30.115	28.31	0.032
32	lilli_10	lilli_10_FL_0_033	0.244	0.043	19.9	0.202	0.076	0.168	0.418	0.217	0.25	58.425	30.392	28.033	0.033
33	lilli_10	lilli_10_FL_0_034	0.244	0.043	19.9	0.203	0.077	0.167	0.418	0.217	0.251	58.425	30.667	27.758	0.034
34	lilli_10	lilli_10_FL_0_035	0.244	0.043	19.9	0.204	0.078	0.166	0.418	0.217	0.252	58.425	30.94	27.486	0.035
35	lilli_10	lilli_10_FL_0_036	0.244	0.043	19.9	0.205	0.079	0.165	0.418	0.217	0.253	58.425	31.21	27.215	0.036
36	lilli_10	lilli_10_FL_0_037	0.244	0.043	19.9	0.206	0.08	0.164	0.418	0.217	0.254	58.425	31.479	26.947	0.037
37	lilli_10	lilli_10_FL_0_038	0.244	0.043	19.9	0.207	0.081	0.163	0.418	0.217	0.255	58.425	31.745	26.68	0.038
38	lilli_10	lilli_10_FL_0_039	0.244	0.043	19.9	0.208	0.082	0.162	0.418	0.217	0.256	58.425	32.01	26.416	0.039
39	lilli_10	lilli_10_FL_0_040	0.244	0.043	19.9	0.209	0.083	0.161	0.418	0.217	0.257	58.425	32.272	26.153	0.04
40	lilli_10	lilli_10_FL_0_041	0.244	0.043	19.9	0.21	0.084	0.16	0.418	0.217	0.258	58.425	32.532	25.893	0.041
41	lilli_10	lilli_10_FL_0_042	0.244	0.043	19.9	0.211	0.085	0.159	0.418	0.217	0.259	58.425	32.791	25.635	0.042
42	lilli_10	lilli_10_FL_0_043	0.244	0.043	19.9	0.212	0.086	0.158	0.418	0.217	0.26	58.425	33.047	25.378	0.043
43	lilli_10	lilli_10_FL_0_044	0.244	0.043	19.9	0.213	0.087	0.157	0.418	0.217	0.261	58.425	33.301	25.124	0.044
44	lilli_10	lilli_10_FL_0_045	0.244	0.043	19.9	0.215	0.088	0.156	0.418	0.217	0.262	58.425	33.554	24.872	0.045
45	lilli_10	lilli_10_FL_0_046	0.244	0.043	19.9	0.216	0.089	0.155	0.418	0.217	0.263	58.425	33.804	24.621	0.046
46	lilli_10	lilli_10_FL_0_047	0.244	0.043	19.9	0.217	0.09	0.154	0.418	0.217	0.264	58.425	34.053	24.372	0.047
47	lilli_10	lilli_10_FL_0_048	0.244	0.043	19.9	0.218	0.091	0.153	0.418	0.217	0.265	58.425	34.3	24.126	0.048
48	lilli_10	lilli_10_FL_0_049	0.244	0.043	19.9	0.219	0.092	0.153	0.418	0.217	0.266	58.425	34.545	23.881	0.049
49	lilli_10	lilli_10_FL_0_050	0.244	0.043	19.9	0.22	0.093	0.152	0.418	0.217	0.266	58.425	34.788	23.637	0.05
50	lilli_10	lilli_10_FL_0_051	0.244	0.043	19.9	0.221	0.094	0.151	0.418	0.217	0.267	58.425	35.029	23.396	0.051
51	lilli_10	lilli_10_FL_0_052	0.244	0.043	19.9	0.222	0.095	0.15	0.418	0.217	0.268	58.425	35.269	23.156	0.052
52	lilli_10	lilli_10_FL_0_053	0.244	0.043	19.9	0.223	0.096	0.149	0.418	0.217	0.269	58.425	35.507	22.919	0.053
53	lilli_10	lilli_10_FL_0_053	0.244	0.043	19.9	0.225	0.097	0.148	0.418	0.217	0.27	58.425	35.743	22.683	0.053
54	lilli_10	lilli_10_FL_0_054	0.244	0.043	19.9	0.226	0.098	0.147	0.418	0.217	0.271	58.425	35.977	22.448	0.054
55	lilli_10	lilli_10_FL_0_055	0.244	0.043	19.9	0.227	0.099	0.146	0.418	0.217	0.272	58.425	36.21	22.216	0.055
56	lilli_10	lilli_10_FL_0_056	0.244	0.043	19.9	0.228	0.1	0.145	0.418	0.217	0.273	58.425	36.441	21.985	0.056
57	lilli_10	lilli_10_FL_0_057	0.244	0.043	19.9	0.229	0.101	0.144	0.418	0.217	0.274	58.425	36.67	21.755	0.057
58	lilli_10	lilli_10_FL_0_058	0.244	0.043	19.9	0.231	0.102	0.143	0.418	0.217	0.275	58.425	36.898	21.528	0.058
59	lilli_10	lilli_10_FL_0_059	0.244	0.043	19.9	0.232	0.103	0.142	0.418	0.217	0.276	58.425	37.124	21.302	0.059
60	lilli_10	lilli_10_FL_0_060	0.244	0.043	19.9	0.233	0.104	0.141	0.418	0.217	0.277	58.425	37.348	21.077	0.06
61	lilli_10	lilli_10_FL_0_061	0.244	0.043	19.9	0.234	0.105	0.14	0.418	0.217	0.278	58.425	37.571	20.854	0.061
62	lilli_10	lilli_10_FL_0_062	0.244	0.043	19.9	0.236	0.106	0.139	0.418	0.217	0.279	58.425	37.792	20.633	0.062
63	lilli_10	lilli_10_FL_0_063	0.244	0.043	19.9	0.237	0.107	0.138	0.418	0.217	0.28	58.425	38.012	20.414	0.063
64	lilli_10	lilli_10_FL_0_064	0.244	0.043	19.9	0.238	0.108	0.137	0.418	0.217	0.281	58.425	38.23	20.195	0.064
65	lilli_10	lilli_10_FL_0_065	0.244	0.043	19.9	0.24	0.109	0.136	0.418	0.217	0.282	58.425	38.446	19.979	0.065
66	lilli_10	lilli_10_FL_0_066	0.244	0.043	19.9	0.241	0.11	0.135	0.418	0.217	0.283	58.425	38.662	19.764	0.066
67	lilli_10	lilli_10_FL_0_067	0.244	0.043	19.9	0.242	0.111	0.134	0.418	0.217	0.284	58.425	38.875	19.55	0.067
68	lilli_10	lilli_10_FL_0_068	0.244	0.043	19.9	0.244	0.112	0.133	0.418	0.217	0.285	58.425	39.087	19.338	0.068
